queryIssue,directI,parentI,gparentI,parentA,gparentA,zoek1,,,,
belastingopbrengsten,pos,belastHeffing,issue,,,,,,,
belastingparadij*,neg,belastHeffing,issue,,,,,,,
belastingpremie*,pos,belastHeffing,issue,,,,,,,
belastingruling,neg,belastHeffing,issue,,,,,,,
belastingtarie*,pos,belastHeffing,issue,,,,,,,
belastinguitstel,neg,belastHeffing,issue,,,,,,,
belastingverhoging,pos,belastHeffing,issue,,,,,,,
belastingverlaging,neg,belastHeffing,issue,,,,,,,
belastingvlucht,neg,belastHeffing,issue,,,,,,,
brievenbusfirma*,neg,belastHeffing,issue,,,,,,,
btw,pos,belastHeffing,issue,,,,,,,
digitaks,pos,belastHeffing,issue,,,,,,,
dividendbelasting,pos,belastHeffing,issue,,,,,,,
fiscus,pos,belastHeffing,issue,semiOverheid,government,,,,,
forfait,pos,belastHeffing,issue,,,,,,,
heffing,pos,belastHeffing,issue,,,,,,,
heffingskorting*,neg,belastHeffing,issue,,,,,,,
inkomensbelasting,pos,belastHeffing,issue,,,,,,,
kapitaalvlucht,neg,belastHeffing,issue,,,,,,,
klimaattaks,pos,belastHeffing,issue,,,,,,,
lasten,pos,belastHeffing,issue,,,,,,,
lastendruk,pos,belastHeffing,issue,,,,,,,
loonbelasting,pos,belastHeffing,issue,,,,,,,
loonheffing,pos,belastHeffing,issue,,,,,,,
naheffing*,pos,belastHeffing,issue,,,,,,,
ontduik*,neg,belastHeffing,issue,,,,,,,
ontwijk*,neg,belastHeffing,issue,,,,,,,
premieopslag,pos,belastHeffing,issue,,,,,,,
ruling,neg,belastHeffing,issue,,,,,,,
taks,pos,belastHeffing,issue,,,,,,,
trustkantoor,neg,belastHeffing,issue,,,,,,,
trustsector,neg,belastHeffing,issue,,,,,,,
verhuurderheffing,pos,belastHeffing,issue,,,,,,,
vermogensbelasting,pos,belastHeffing,issue,,,,,,,
vermogenswinstbelasting,pos,belastHeffing,issue,,,,,,,
vliegtaks,pos,belastHeffing,issue,,,,,,,
witwassen,neg,belastHeffing,issue,,,,,,,
aangehouden,pos,bestrijdingCrim,issue,,,,,,,
aanhouden,pos,bestrijdingCrim,issue,,,,,,,
aanhouding*,pos,bestrijdingCrim,issue,,,,,,,
afstraff*,pos,bestrijdingCrim,issue,,,,,,,
agent*,pos,bestrijdingCrim,issue,semiOverheid,government,,,,,
AIVD,pos,bestrijdingCrim,issue,semiOverheid,government,,,,,
arrestatie*,pos,bestrijdingCrim,issue,,,,,,,
bekeuren,pos,bestrijdingCrim,issue,,,,,,,
bekeuring,pos,bestrijdingCrim,issue,,,,,,,
bestraff*,pos,bestrijdingCrim,issue,,,,,,,
Boa,pos,bestrijdingCrim,issue,semiOverheid,government,,,,,
bodycam,pos,bestrijdingCrim,issue,,,,,,,
boete,pos,bestrijdingCrim,issue,,,,,,,
crimefighter*,pos,bestrijdingCrim,issue,,,,,,,
dienstwapen,pos,bestrijdingCrim,issue,,,,,,,
dwangverpleging,pos,bestrijdingCrim,issue,,,,,,,
Europol,pos,bestrijdingCrim,issue,EU,buitenland,,,,,
gebiedsverbod*,pos,bestrijdingCrim,issue,,,,,,,
gevangenis*,pos,bestrijdingCrim,issue,,,,,,,
geweer,pos,bestrijdingCrim,issue,,,,,,,
gummiknuppel,pos,bestrijdingCrim,issue,,,,,,,
handboeien,pos,bestrijdingCrim,issue,,,,,,,
infiltrat*,pos,bestrijdingCrim,issue,semiOverheid,government,,,,,
inlichtingenplicht,pos,bestrijdingCrim,issue,,,,,,,
korpschef,pos,bestrijdingCrim,issue,semiOverheid,government,,,,,
legitimatieplicht,pos,bestrijdingCrim,issue,,,,,,,
marechaussee,pos,bestrijdingCrim,issue,semiOverheid,government,,,,,
ME,pos,bestrijdingCrim,issue,semiOverheid,government,,,,,
MIVD,pos,bestrijdingCrim,issue,semiOverheid,government,,,,,
mobiele eenheid,pos,bestrijdingCrim,issue,semiOverheid,government,,,,,
opgepakt,pos,bestrijdingCrim,issue,,,,,,,
oppakken,pos,bestrijdingCrim,issue,,,,,,,
oproerpolitie,pos,bestrijdingCrim,issue,,,,,,,
opsporing*,pos,bestrijdingCrim,issue,,,,,,,
partnertoets,pos,bestrijdingCrim,issue,,,,,,,
pepperspray,pos,bestrijdingCrim,issue,,,,,,,
politie,pos,bestrijdingCrim,issue,semiOverheid,government,,,,,
rechtshandhaving,pos,bestrijdingCrim,issue,,,,,,,
straf,pos,bestrijdingCrim,issue,,,,,,,
TBS,pos,bestrijdingCrim,issue,,,,,,,
traangas,pos,bestrijdingCrim,issue,,,,,,,
verbalise*,pos,bestrijdingCrim,issue,,,,,,,
wapenstok,pos,bestrijdingCrim,issue,,,,,,,
waterkanon*,pos,bestrijdingCrim,issue,,,,,,,
wijkagent*,pos,bestrijdingCrim,issue,semiOverheid,government,,,,,
burgerberaad,pos,bestVernieuw,issue,,,,,,,
burgertop*,pos,bestVernieuw,issue,,,,,,,
democrati*,pos,bestVernieuw,issue,,,,,,,
districtenstelsel,pos,bestVernieuw,issue,,,,,,,
gekozen burgemeester,pos,bestVernieuw,issue,,,,,,,
gekozen premier,pos,bestVernieuw,issue,,,,,,,
inspraak,pos,bestVernieuw,issue,,,,,,,
Navalny,pos,bestVernieuw,issue,Rusland,buitenland,,,,,
openbaarheid,pos,bestVernieuw,issue,,,,,,,
referenda,pos,bestVernieuw,issue,,,,,,,
referendum,pos,bestVernieuw,issue,,,,,,,
volksraadpleging,pos,bestVernieuw,issue,,,,,,,
WOB,pos,bestVernieuw,issue,,,,,,,
5G-masten,neg,coronabestrijding,issue,,,corona* covid19,,,,
afstand,pos,coronabestrijding,issue,,,corona* covid19,,,,
anderhalve*,pos,coronabestrijding,issue,,,corona* covid19,,,,
Astrazenica,pos,coronabestrijding,issue,,,,,,,
avondklok,pos,coronabestrijding,issue,,,,,,,
beperkend*,pos,coronabestrijding,issue,,,corona* covid19,,,,
beschermingsmiddel*,pos,coronabestrijding,issue,,,corona* covid19,,,,
Biontech,pos,coronabestrijding,issue,,,,,,,
bloedspoed,pos,coronabestrijding,issue,,,corona* covid19,,,,
café* dicht,pos,coronabestrijding,issue,,,corona* covid19,,,,
café* open,neg,coronabestrijding,issue,,,corona* covid19,,,,
code zwart,neg,coronabestrijding,issue,,,,,,,
complot*,neg,coronabestrijding,issue,,,corona* covid19,,,,
corona app,pos,coronabestrijding,issue,,,,,,,
coronabeleid,pos,coronabestrijding,issue,,,,,,,
coronamaatregel*,pos,coronabestrijding,issue,,,,,,,
coronamelder,pos,coronabestrijding,issue,,,,,,,
coronanoodwet,pos,coronabestrijding,issue,,,,,,,
coronarichtlijn*,pos,coronabestrijding,issue,,,,,,,
coronatest*,pos,coronabestrijding,issue,,,,,,,
coronavaccin*,pos,coronabestrijding,issue,,,,,,,
desinfect*,pos,coronabestrijding,issue,,,,,,,
elleboog,pos,coronabestrijding,issue,,,corona* covid19,,,,
handen wassen,pos,coronabestrijding,issue,,,,,,,
horeca* dicht,pos,coronabestrijding,issue,,,,,,,
horeca* open,neg,coronabestrijding,issue,,,,,,,
huisfeest*,neg,coronabestrijding,issue,,,,,,,
illegale huisfeest*,neg,coronabestrijding,issue,,,,,,,
inent*,pos,coronabestrijding,issue,,,,,,,
ingrijpend*,pos,coronabestrijding,issue,,,corona* covid19,,,,
Janssen,pos,coronabestrijding,issue,,,corona* covid19,,,,
Landelijk Netwerk Acute Zorg,pos,coronabestrijding,issue,belangengroep,society,,,,,
lockdown,pos,coronabestrijding,issue,,,,,,,
Moderna,pos,coronabestrijding,issue,,,,,,,
mondkap*,pos,coronabestrijding,issue,,,,,,,
mondmasker*,pos,coronabestrijding,issue,,,,,,,
Nederlandse Vereniging van Ziekenhuizen,pos,coronabestrijding,issue,,,,,,,
OMT,pos,coronabestrijding,issue,expert,society,,,,,
overheidsingrijpen,pos,coronabestrijding,issue,,,,,,,
Pfizer,pos,coronabestrijding,issue,,,,,,,
prikken,pos,coronabestrijding,issue,,,,,,,
priklocaties,pos,coronabestrijding,issue,,,,,,,
red team,neg,coronabestrijding,issue,expert,society,,,,,
regels,pos,coronabestrijding,issue,,,,,,,
restaurant,pos,coronabestrijding,issue,bedrijven,society,corona* covid19,,,,
scholen dicht,pos,coronabestrijding,issue,,,,,,,
sluit*,pos,coronabestrijding,issue,,,corona* covid19,,,,
sneltest*,pos,coronabestrijding,issue,,,,,,,
soepel,neg,coronabestrijding,issue,,,corona* covid19,,,,
Spoetnik,pos,coronabestrijding,issue,,,corona* covid20,,,,
telewerk*,pos,coronabestrijding,issue,,,corona* covid19,,,,
testbeleid,pos,coronabestrijding,issue,,,,,,,
testen,pos,coronabestrijding,issue,,,,,,,
testlocatie,pos,coronabestrijding,issue,,,,,,,
teststraat,pos,coronabestrijding,issue,,,,,,,
thuiswerk*,pos,coronabestrijding,issue,,,,,,,
vaccin*,pos,coronabestrijding,issue,,,,,,,
vaccinontwikkelaars,pos,coronabestrijding,issue,,,,,,,
versoepel*,neg,coronabestrijding,issue,,,corona* covid19,,,,
virusregels,pos,coronabestrijding,issue,,,,,,,
Viruswaanzin,neg,coronabestrijding,issue,belangengroep,society,corona* covid19,,,,
Viruswaarheid,neg,coronabestrijding,issue,belangengroep,society,,,,,
was je handen,pos,coronabestrijding,issue,,,,,,,
winkels dicht,pos,coronabestrijding,issue,,,,,,,
winkels open,neg,coronabestrijding,issue,,,,,,,
5G,neg,coronaverspreiding,issue,,,,,,,
aerosolen,pos,coronaverspreiding,issue,,,,,,,
besmett*,pos,coronaverspreiding,issue,,,corona* covid19,,,,
bezoek*,pos,coronaverspreiding,issue,,,corona* covid19,,,,
Braziliaanse variant,pos,coronaverspreiding,issue,,,,,,,
Britse variant,pos,coronaverspreiding,issue,,,,,,,
corona,pos,coronaverspreiding,issue,,,,,,,
coronabesmet*,pos,coronaverspreiding,issue,,,,,,,
coronabrandhaard*,pos,coronaverspreiding,issue,,,,,,,
coronacrisis,pos,coronaverspreiding,issue,,,,,,,
coronageval*,pos,coronaverspreiding,issue,,,,,,,
coronapatiënt*,pos,coronaverspreiding,issue,,,,,,,
coronavirus,pos,coronaverspreiding,issue,,,,,,,
Covid19,pos,coronaverspreiding,issue,,,,,,,
derde golf,pos,coronaverspreiding,issue,,,,,,,
eerste golf,pos,coronaverspreiding,issue,,,,,,,
epidemie,pos,coronaverspreiding,issue,,,,,,,
mutatie,pos,coronaverspreiding,issue,,,,,,,
pandemie,pos,coronaverspreiding,issue,,,corona* covid19,,,,
patiënt*,pos,coronaverspreiding,issue,,,corona* covid20,,,,
tweede golf,pos,coronaverspreiding,issue,,,,,,,
uitbraak,pos,coronaverspreiding,issue,,,corona* covid19,,,,
verspreiding,pos,coronaverspreiding,issue,,,corona* covid19,,,,
virus,pos,coronaverspreiding,issue,,,corona* covid19,,,,
Zuidafrikaanse variant,pos,coronaverspreiding,issue,,,,,,,
3 procent,pos,EuropeseUnie,issue,,,,,,,
60 procent,pos,EuropeseUnie,issue,,,,,,,
brexit,neg,EuropeseUnie,issue,,,,,,,
coronaherstelfonds,pos,EuropeseUnie,issue,,,,,,,
ECB,pos,EuropeseUnie,issue,EU,buitenland,,,,,
EMA,pos,EuropeseUnie,issue,EU,buitenland,,,,,
EU,pos,EuropeseUnie,issue,EU,buitenland,,,,,
europarlementarier*,pos,EuropeseUnie,issue,EU,buitenland,,,,,
Europe* Parlement,pos,EuropeseUnie,issue,EU,buitenland,,,,,
Europees Medicijn Agentschap,pos,EuropeseUnie,issue,EU,buitenland,,,,,
Europese Centrale Bank,pos,EuropeseUnie,issue,EU,buitenland,,,,,
Europese Commissie,pos,EuropeseUnie,issue,EU,buitenland,,,,,
Europese regeringsleiders,pos,EuropeseUnie,issue,EU,buitenland,,,,,
Europese Unie,pos,EuropeseUnie,issue,EU,buitenland,,,,,
euroscep*,neg,EuropeseUnie,issue,,,,,,,
eurozone,pos,EuropeseUnie,issue,,,,,,,
geneesmiddelenbureau,pos,EuropeseUnie,issue,,,,,,,
herstelfonds,pos,EuropeseUnie,issue,,,,,,,
Hof van Justitie,pos,EuropeseUnie,issue,rechtelijkeM,government,,,,,
lidstaten,pos,EuropeseUnie,issue,,,,,,,
medicijnagentschap,pos,EuropeseUnie,issue,,,,,,,
meerjarenbegroting,pos,EuropeseUnie,issue,,,,,,,
Nexit,neg,EuropeseUnie,issue,,,,,,,
raad van ministers,pos,EuropeseUnie,issue,EU,buitenland,,,,,
ambulance*,pos,geZorg,issue,,,,,,,
AMC,pos,geZorg,issue,,,,,,,
apothe*,pos,geZorg,issue,,,,,,,
arts*,pos,geZorg,issue,,,,,,,
bedden,pos,geZorg,issue,,,,,,,
bedlegerig,neg,geZorg,issue,,,,,,,
behandeling*,pos,geZorg,issue,,,,,,,
biomedical*,pos,geZorg,issue,,,,,,,
chemoku*,pos,geZorg,issue,,,,,,,
collectiviteitskorting,pos,geZorg,issue,,,,,,,
dokter,pos,geZorg,issue,expert,society,,,,,
doodziek,neg,geZorg,issue,,,,,,,
drogist*,pos,geZorg,issue,expert,society,,,,,
eerste hulp,pos,geZorg,issue,,,,,,,
eigen risico,neg,geZorg,issue,,,,,,,
embryo*,pos,geZorg,issue,,,,,,,
gehandicapteninstelling*,pos,geZorg,issue,,,,,,,
geneeswijze,pos,geZorg,issue,,,,,,,
genetische mod*,pos,geZorg,issue,,,,,,,
gentherapie,pos,geZorg,issue,,,,,,,
gezondheid*,pos,geZorg,issue,,,,,,,
GGD,pos,geZorg,issue,semiOverheid,government,,,,,
huisarts*,pos,geZorg,issue,expert,society,,,,,
hulpverlene*,pos,geZorg,issue,expert,society,,,,,
IC,pos,geZorg,issue,,,,,,,
intensive care,pos,geZorg,issue,,,,,,,
internist*,pos,geZorg,issue,expert,society,,,,,
jeugdzorg*,pos,geZorg,issue,,,,,,,
kinderarts*,pos,geZorg,issue,expert,society,,,,,
ligduur,neg,geZorg,issue,,,,,,,
longarts*,pos,geZorg,issue,expert,society,,,,,
mantelzorg*,pos,geZorg,issue,,,,,,,
MC,pos,geZorg,issue,,,,,,,
medicijn*,pos,geZorg,issue,,,,,,,
medisch*,pos,geZorg,issue,,,,,,,
Nederlandse zorgautoriteit,pos,geZorg,issue,,,,,,,
NZa,pos,geZorg,issue,,,,,,,
patient,neg,geZorg,issue,burgers,society,,,,,
piek,neg,geZorg,issue,,,,,,,
psychiatrisiche kliniek*,pos,geZorg,issue,,,,,,,
slachtofferhulp,pos,geZorg,issue,,,,,,,
Spoedeisende Hulp,pos,geZorg,issue,,,,,,,
stamcel*,pos,geZorg,issue,,,,,,,
thuiszorg*,pos,geZorg,issue,,,,,,,
verple*,pos,geZorg,issue,expert,society,,,,,
verzekering,pos,geZorg,issue,,,,,,,
verzorgingshui*,pos,geZorg,issue,,,,,,,
virolo*,pos,geZorg,issue,expert,society,,,,,
volksgezondheidscrisis,neg,geZorg,issue,,,,,,,
volkskgezondheid,pos,geZorg,issue,,,,,,,
wachtlijsten,neg,geZorg,issue,,,,,,,
wachttijd*,neg,geZorg,issue,,,,,,,
ziek,neg,geZorg,issue,,,,,,,
zieken,neg,geZorg,issue,burgers,society,,,,,
ziekenhui*,pos,geZorg,issue,,,,,,,
ziekte,neg,geZorg,issue,,,,,,,
ziektekosten,neg,geZorg,issue,,,,,,,
ziektekostenpremie*,neg,geZorg,issue,,,,,,,
ziektekostenverz*,pos,geZorg,issue,,,,,,,
zorg*,pos,geZorg,issue,bedrijven,society,,,,,
zuurstof*,pos,geZorg,issue,,,,,,,
*chipkaart,pos,Infrastructuur,issue,,,,,,,
airbus,pos,Infrastructuur,issue,,,,,,,
AirFrance,pos,Infrastructuur,issue,bedrijven,society,,,,,
airport,pos,Infrastructuur,issue,,,,,,,
auto,pos,Infrastructuur,issue,,,,,,,
automobiliteit,pos,Infrastructuur,issue,,,,,,,
benzinestation*,pos,Infrastructuur,issue,,,,,,,
bestemmingsplan,pos,Infrastructuur,issue,,,,,,,
bestemmingsverkeer,pos,Infrastructuur,issue,,,,,,,
Betuwelijn,pos,Infrastructuur,issue,,,,,,,
bevoorrading,pos,Infrastructuur,issue,,,,,,,
Boeing,pos,Infrastructuur,issue,,,,,,,
dijkverzwaring,pos,Infrastructuur,issue,,,,,,,
distributie*,pos,Infrastructuur,issue,,,,,,,
doorvoer,pos,Infrastructuur,issue,,,,,,,
Eurostar,pos,Infrastructuur,issue,bedrijven,society,,,,,
file*,neg,Infrastructuur,issue,,,,,,,
glasvezel*,pos,Infrastructuur,issue,,,,,,,
haven*,pos,Infrastructuur,issue,,,,,,,
hub,pos,Infrastructuur,issue,,,,,,,
infrastructu*,pos,Infrastructuur,issue,,,,,,,
internetprovider*,pos,Infrastructuur,issue,,,,,,,
KLM,pos,Infrastructuur,issue,bedrijven,society,,,,,
laadpa*,pos,Infrastructuur,issue,,,,,,,
landingen,pos,Infrastructuur,issue,,,,,,,
landingsba*,pos,Infrastructuur,issue,,,,,,,
lightrail,pos,Infrastructuur,issue,,,,,,,
logisti*,pos,Infrastructuur,issue,,,,,,,
luchthaven,pos,Infrastructuur,issue,,,,,,,
luchtvaart,pos,Infrastructuur,issue,,,,,,,
luchtverkeer,pos,infrastructuur,issue,,,,,,,
mobiliteit,pos,Infrastructuur,issue,,,,,,,
nachtvluchten,pos,Infrastructuur,issue,,,,,,,
netwerkprovider*,pos,Infrastructuur,issue,,,,,,,
NS,pos,Infrastructuur,issue,bedrijven,society,,,,,
overloopluchthaven,pos,Infrastructuur,issue,,,,,,,
pakketbezorg*,pos,Infrastructuur,issue,,,,,,,
pakketdienst*,pos,Infrastructuur,issue,,,,,,,
parkeer*,pos,Infrastructuur,issue,,,,,,,
post*,pos,Infrastructuur,issue,,,,,,,
prorail,pos,Infrastructuur,issue,,,,,,,
rail*,pos,Infrastructuur,issue,,,,,,,
Randstadrail,pos,Infrastructuur,issue,,,,,,,
ruimtelijke ordening,pos,Infrastructuur,issue,,,,,,,
Schiphol,pos,Infrastructuur,issue,bedrijven,society,,,,,
sneltram*,pos,Infrastructuur,issue,,,,,,,
snelweg*,pos,Infrastructuur,issue,,,,,,,
spoorweg*,pos,Infrastructuur,issue,,,,,,,
streekplan*,pos,Infrastructuur,issue,,,,,,,
tankstation*,pos,Infrastructuur,issue,,,,,,,
telefoonnetwerk*,pos,Infrastructuur,issue,,,,,,,
Thalys,pos,Infrastructuur,issue,,,,,,,
tram*,pos,Infrastructuur,issue,,,,,,,
transport*,pos,Infrastructuur,issue,,,,,,,
trucker*,pos,Infrastructuur,issue,,,,,,,
vakantievluchten,pos,Infrastructuur,issue,,,,,,,
verkeer*,pos,Infrastructuur,issue,,,,,,,
vervoer*,pos,Infrastructuur,issue,,,,,,,
vliegbeweging*,pos,Infrastructuur,issue,,,,,,,
vliegtuig*,pos,Infrastructuur,issue,,,,,,,
vliegverkeer,pos,Infrastructuur,issue,,,,,,,
vrachtvervoer,pos,Infrastructuur,issue,,,,,,,
vrachtwagen*,pos,Infrastructuur,issue,,,,,,,
vroem,pos,Infrastructuur,issue,,,,,,,
wegen,pos,Infrastructuur,issue,,,,,,,
wegenaanleg,pos,Infrastructuur,issue,,,,,,,
wegennet,pos,Infrastructuur,issue,,,,,,,
wegtransport,pos,Infrastructuur,issue,,,,,,,
wegverbreding,pos,Infrastructuur,issue,,,,,,,
werkverkeer,pos,Infrastructuur,issue,,,,,,,
allochto*,pos,integratie,issue,,,,,,,
Antifa,pos,integratie,issue,belangengroep,society,,,,,
artikel 1,pos,integratie,issue,,,,,,,
asieladvocaat,pos,integratie,issue,expert,society,,,,,
asielzoeker*,pos,integratie,issue,burgers,society,,,,,
AZC,pos,integratie,issue,semiOverheid,government,,,,,
bootvluchtel*,pos,integratie,issue,burgers,society,,,,,
buitenlander*,pos,integratie,issue,burgers,society,,,,,
discrimin*,neg,integratie,issue,,,,,,,
diversiteitsbeleid,pos,integratie,issue,,,,,,,
etnische profilering,neg,integratie,issue,,,,,,,
gelukszoeker,pos,integratie,issue,burgers,society,,,,,
I cannot breathe,pos,integratie,issue,,,,,,,
illegalen,pos,integratie,issue,burgers,society,,,,,
immigrant*,pos,integratie,issue,burgers,society,,,,,
immigratie*,neg,integratie,issue,,,,,,,
inburgering*,neg,integratie,issue,,,,,,,
marokk*,pos,integratie,issue,burgers,society,,,,,
migra*,pos,integratie,issue,,,,,,,
multiculture*,pos,integratie,issue,,,,,,,
Schengen,neg,integratie,issue,,,,,,,
slavernijverleden,pos,integratie,issue,,,,,,,
statushoud*,pos,integratie,issue,burgers,society,,,,,
Syri*,pos,integratie,issue,burgers,society,,,,,
Turkijedeal,neg,integratie,issue,,,,,,,
Turks*,pos,integratie,issue,,,,,,,
uitgeprocedeerd*,neg,integratie,issue,,,,,,,
uitheems*,pos,integratie,issue,,,,,,,
uitzetting,neg,integratie,issue,,,,,,,
van kleur,pos,integratie,issue,,,,,,,
veiligelanders,neg,integratie,issue,,,,,,,
verblijfspapier*,pos,integratie,issue,,,,,,,
verblijfsvergunning,pos,integratie,issue,,,,,,,
vluchtel*,pos,integratie,issue,burgers,society,,,,,
vreemdeling*,pos,integratie,issue,burgers,society,,,,,
aardgas,neg,klimaatMilieu,issue,,,,,,,
aardgascentrale,neg,klimaatMilieu,issue,,,,,,,
afvalberg,neg,klimaatMilieu,issue,,,,,,,
afvalscheiding,pos,klimaatMilieu,issue,,,,,,,
ammoniak*,neg,klimaatMilieu,issue,,,,,,,
antibiotica,neg,klimaatMilieu,issue,,,,,,,
bijensterfte,neg,klimaatMilieu,issue,,,,,,,
bioboer*,pos,klimaatMilieu,issue,,,,,,,
biodiversiteit,pos,klimaatMilieu,issue,,,,,,,
biogascentrale,neg,klimaatMilieu,issue,,,,,,,
biologische landbouw*,pos,klimaatMilieu,issue,,,,,,,
biomassa,neg,klimaatMilieu,issue,,,,,,,
blockchain,neg,klimaatMilieu,issue,,,,,,,
bodemverontreiniging,neg,klimaatMilieu,issue,,,,,,,
bodemvervuiling,neg,klimaatMilieu,issue,,,,,,,
boerenprotest,neg,klimaatMilieu,issue,,,,,,,
bosbrand*,neg,klimaatMilieu,issue,,,,,,,
bossen,pos,klimaatMilieu,issue,,,,,,,
broeikasgas*,neg,klimaatMilieu,issue,,,,,,,
CO2,neg,klimaatMilieu,issue,,,,,,,
dierenwelzijn,pos,klimaatMilieu,issue,,,,,,,
droogte,neg,klimaatMilieu,issue,,,,,,,
duurza*,pos,klimaatMilieu,issue,,,,,,,
ecologi*,pos,klimaatMilieu,issue,,,,,,,
ecosysteem,pos,klimaatMilieu,issue,,,,,,,
electiricitetsgebruik,neg,klimaatMilieu,issue,,,,,,,
elektriciteitsverbruik,neg,klimaatMilieu,issue,,,,,,,
elektrische auto,pos,klimaatMilieu,issue,,,,,,,
energiebesparing,pos,klimaatMilieu,issue,,,,,,,
energielabel,pos,klimaatMilieu,issue,,,,,,,
energieneutra*,pos,klimaatMilieu,issue,,,,,,,
energiepark,pos,klimaatMilieu,issue,,,,,,,
energiestrategie,pos,klimaatMilieu,issue,,,,,,,
energiezuinig*,pos,klimaatMilieu,issue,,,,,,,
fietspad*,pos,klimaatMilieu,issue,,,,,,,
fijnstof,neg,klimaatMilieu,issue,,,,,,,
geluidshinder,neg,klimaatMilieu,issue,,,,,,,
geluidsoverlast,neg,klimaatMilieu,issue,,,,,,,
gerecycle*,pos,klimaatMilieu,issue,,,,,,,
glysofaat,neg,klimaatMilieu,issue,,,,,,,
grutto,pos,klimaatMilieu,issue,,,,,,,
hergebruik,pos,klimaatMilieu,issue,,,,,,,
kerncentrale,neg,klimaatMilieu,issue,,,,,,,
klimaat,pos,klimaatMilieu,issue,,,,,,,
klimaatafspra*,pos,klimaatMilieu,issue,,,,,,,
klimaatakkoord,pos,klimaatMilieu,issue,,,,,,,
klimaatbeleid,pos,klimaatMilieu,issue,,,,,,,
klimaatdoel*,pos,klimaatMilieu,issue,,,,,,,
klimaatmaatre*,pos,klimaatMilieu,issue,,,,,,,
klimaatverandering,neg,klimaatMilieu,issue,,,,,,,
kolencentrale*,neg,klimaatMilieu,issue,,,,,,,
kringlooplandbouw,pos,klimaatMilieu,issue,,,,,,,
landbouwgif*,neg,klimaatMilieu,issue,,,,,,,
luchtverontreiniging,neg,klimaatMilieu,issue,,,,,,,
luchtvervuiling,neg,klimaatMilieu,issue,,,,,,,
luchtwasser*,neg,klimaatMilieu,issue,,,,,,,
maximumsnelheid,pos,klimaatMilieu,issue,,,,,,,
mestoverschot,neg,klimaatMilieu,issue,,,,,,,
milieubeh*,pos,klimaatMilieu,issue,,,,,,,
milieubeweging*,pos,klimaatMilieu,issue,belangengroep,society,,,,,
milieuverontreiniging,neg,klimaatMilieu,issue,,,,,,,
milieuvoorschrift*,pos,klimaatMilieu,issue,,,,,,,
molens,pos,klimaatMilieu,issue,,,,,,,
natura,pos,klimaatMilieu,issue,,,,,,,
natuurbeh*,pos,klimaatMilieu,issue,,,,,,,
natuurbescherming,pos,klimaatMilieu,issue,,,,,,,
natuurgebied*,pos,klimaatMilieu,issue,,,,,,,
natuurherstel,pos,klimaatMilieu,issue,,,,,,,
onkruidbestrijd*,neg,klimaatMilieu,issue,,,,,,,
openbaar vervoer,pos,klimaatMilieu,issue,,,,,,,
opwarming,neg,klimaatMilieu,issue,,,,,,,
OV ,pos,klimaatMilieu,issue,,,,,,,
OV jaarkaart,pos,klimaatMilieu,issue,,,,,,,
overstroming*,neg,klimaatMilieu,issue,,,,,,,
ozonlaag,pos,klimaatMilieu,issue,,,,,,,
permafrost,neg,klimaatMilieu,issue,,,,,,,
pesticide*,neg,klimaatMilieu,issue,,,,,,,
